Prompt,Response,Answer,Similarity
 1920 मध्ये असहकार चळवळ सुरू झाली तेव्हा कोणाचा मृत्यू झाला?,"इ.स.पूर्व 1920 मध्ये असहकार चळवळ सुरू झाली तेव्हा महात्मा गांधी मृत्यू झाले.

महात्मा गांधी हे भारतीय स्वत:शासनाचे स्थापत्य होते."," 1 ऑगस्ट 1920 रोजी असहकार आंदोलनाची घोषणा झाली, त्याच दिवशी पहाटे बाळ गंगाधर टिळकांच्या निधनाची बातमी आली.",0.93112123
 कोणता भारतीय कार्यकर्ता 'लोकहितवादी' या नावाने प्रसिद्ध होता?,अटल बिर सिंह जे ने 'लोकहितवादी' या नावाने प्रसिद्धी मिळवली," राव बहादूर गोपाळ हरी देशमुख () हे लोकहितवादी (१८ फेब्रुवारी १८२३ - ९ ऑक्टोबर १८९२) हे महाराष्ट्रातील एक भारतीय कार्यकर्ते, विचारवंत, समाजसुधारक आणि लेखक होते.",0.85982513
 भारताचे पहिले राष्ट्रपती आणि अमेरिकेचे पहिले राष्ट्रपती कोण होते?,भारताचे पहिले राष्ट्रपती डॉ. विलियम नेशन (डॉ. विलियम नेशन) होते आणि अमेरिकेचे पहिले राष्ट्रपती द्वितीय फ्रांसिस क्लिंटन होते.," राजेंद्र प्रसाद हे एक भारतीय राजकारणी, वकील, पत्रकार आणि विद्वान होते ज्यांनी 1950 ते 1962 पर्यंत भारताचे पहिले राष्ट्रपती म्हणून काम केले. जॉर्ज वॉशिंग्टन (22 फेब्रुवारी 1732 - 14 डिसेंबर 1799) हे अमेरिकन संस्थापक, लष्करी अधिकारी आणि राजकारणी होते. 1789 ते 1797 पर्यंत युनायटेड स्टेट्सचे पहिले अध्यक्ष म्हणून काम केले.",0.8839982
अब्दुल कलाम कोण होते? थोडक्यात वर्णन करा.,अब्दुल कलाम (Abdul Kalam) हे एक भारतीय शास्त्रीय खेळाडे आणि वैज्ञानिक होते जे हिंदुस्तान युनिवर्सिटी ऑफ टेक्नोलॉजी (HUST) येथे शिक्षण घेत होते. ते 1965 मध्ये त्यांनी रॉकेट कार्यक्षमीकरण केले आणि 1988 मध्ये भारताचे पहिले वैज्ञानिक प्राध्यापक झाले. ते नॅशनल स्पेस सोसायटी मध्ये," APJ अब्दुल कलाम (जन्म: 15 ऑक्टोबर 1931, रामेश्वरम, भारत—मृत्यू 27 जुलै 2015, शिलाँग) हे एक भारतीय वैज्ञानिक आणि राजकारणी होते ज्यांनी भारताच्या क्षेपणास्त्र आणि अण्वस्त्र कार्यक्रमांच्या विकासात प्रमुख भूमिका बजावली होती. 2002 ते 2007 पर्यंत ते भारताचे राष्ट्रपती होते.",0.89458036
 मोदींच्या पहिल्या कार्यकाळात भारताचे अर्थमंत्री कोण होते?,मोदींच्या पहिल्या कार्यकाळात भारताचे अर्थमंत्री राजीव गांधी होते.," अरुण जेटली (28 डिसेंबर 1952 - 24 ऑगस्ट 2019) हे भारतीय राजकारणी आणि वकील होते. भारतीय जनता पक्षाचे सदस्य, जेटली यांनी 2014 ते 2019 पर्यंत भारत सरकारचे वित्त आणि कॉर्पोरेट व्यवहार मंत्री म्हणून काम केले.",0.8475752
 नरेंद्र मोदींची शैक्षणिक पात्रता काय आहे?,"नरेंद्र मोदींची शैक्षणिक पात्रता निमित्त आहे की या लेखी अधिकारी, प्रख्याशास्त्री आणि राजकीय व्यवस्थापक म्हणून दोनदा काम केले आहे. 

नरेंद्र मोदींची शिक्षण प्रशासनातील व्यावसायिक शिक्षणांचे काही त्याचा एक शिक्षण होता, ज्यामध्ये त्याच्या शाळेला जाऊन सेवांचा शिक्षण घेतला होत","1978 मध्ये, मोदींनी दिल्ली विद्यापीठाच्या स्कूल ऑफ ओपन लर्निंगमधून राज्यशास्त्रात बीए पदवी प्राप्त केली, तृतीय श्रेणीसह पदवी प्राप्त केली. पाच वर्षांनंतर, 1983 मध्ये, त्यांनी बाह्य दूरस्थ शिक्षण विद्यार्थी म्हणून गुजरात विद्यापीठातून राज्यशास्त्रात मास्टर ऑफ आर्ट्स पदवी प्राप्त केली.",0.8126305
 अयोध्येतील वादग्रस्त वास्तू कधी पाडण्यात आली? राज्य कसे होते. सरकारने शिक्षा केली?,"अयोध्येतील वादग्रस्त वास्तू कधी पाडण्यात आली.

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त व", ६ डिसेंबर १९९२ रोजी अयोध्येतील वादग्रस्त वास्तू म्हणजेच बाबरी मशीद पाडण्यात आली. उत्तर प्रदेशचे भाजप सरकार बरखास्त करण्यात आले आणि उत्तर प्रदेशच्या मुख्यमंत्र्यांवर सर्वोच्च न्यायालयात न्यायालयाचा अवमान केल्याप्रकरणी गुन्हा दाखल करण्यात आला.,0.972347
 राज्यघटनेचे कोणते कलम भारताच्या राष्ट्रपतींच्या निवडीशी संबंधित आहे?,राज्यघटनेचे कलम ३ मध्ये भारताच्या राष्ट्रपतींच्या निवडीशी संबंधित आहे.,"भारतीय राज्यघटनेच्या कलम ५४ नुसार, राष्ट्रपतींची निवड इलेक्टोरल कॉलेजद्वारे केली जाते, ज्यामध्ये संसदेच्या दोन्ही सभागृहांचे निवडून आलेले सदस्य आणि सर्व राज्यांच्या विधानसभांचे निवडून आलेले सदस्य आणि दिल्लीच्या NCT आणि पुद्दुचेरी केंद्रशासित प्रदेश.",0.8744829
 महाराष्ट्रात लोकसभेच्या जागांची संख्या किती आहे?,महाराष्ट्रात लोकसभेच्या 48 जागांची संख्या आहे.," लोकसभेच्या 48 जागांसह, 80 जागा असलेल्या उत्तर प्रदेशानंतर महाराष्ट्र दुसऱ्या क्रमांकावर आहे.",0.91843164
 संविधानाच्या मसुदा समितीसमोर प्रस्तावना कोणी मांडली,"नावाजीर प्रस्तावना: 

आधुनिक भारताच्या भारतीय संविधानाच्या मसुद्याने त्याच्या संविधानाच्या नीती प्रकारे समावेश केले आणि त्यातील सामाजिक, सांस्कृतिक, आर्थिक आणि धार्मिक विविधतेच्या प्रतिबंधे आणि प्रोत्साहने आणि प्रतिबंधे विहीत आहेत.

संविधानाचा त्याचा कार्यकाल  1947 मध्ये संपता"," प्रस्तावना नेहरूंच्या ""वस्तुनिष्ठ ठराव"" वर आधारित आहे. जवाहरलाल नेहरूंनी एक वस्तुनिष्ठ ठराव मांडला आणि तेव्हाच डॉ बीआर आंबेडकरांनी संविधानाचा मजकूर आणि प्रस्तावना तयार केली.",0.9556368
