Prompt,Response
 1920 में असहयोग आंदोलन की शुरुआत के साथ ही किसकी मृत्यु हो गई?,"1920 में असहयोग आंदोलन की शुरुआत के साथ ही महिला सेवा संघ (एमएसए) की संस्थापक की मृत्यु हुई, जिसका नाम कांताबेन कुमारी मिलकoti"
 कौन से भारतीय कार्यकर्ता लोकप्रिय रूप से 'लोकहितवादी' के नाम से जाने जाते थे?,"कुछ प्रमुख भारतीय कार्यकर्ता जिन्हें 'लोकहितवादी' के नाम से जाने जाते थे, उनमें से कुछ इस प्रकार हैं:

1. बाबासाई: 1910 में पंजाब में पैदा हुए, बाबासाई एक प्रतिभाशाली लेखक, कवि और सामाजिक कार्यकर्ता थे। उन्हें भारतीय स्वतंत्रता संग्राम में एक महत्वपूर्ण भूमिका निभाने के लिए जाना जाता था।"
 भारत के प्रथम राष्ट्रपति और संयुक्त राज्य अमेरिका के प्रथम राष्ट्रपति कौन थे?,भारत के प्रथम राष्ट्रपति जवाहरलाल नेहरू और संयुक्त राज्य अमेरिका के प्रथम राष्ट्रपति रॉबर्ट एट्वार्ट हेन्री
 अब्दुल कलाम कौन थे? संक्षेप में वर्णन करें।,"अब्दुल कलाम एक प्रसिद्ध भारतीय गणितज्ञ, वैज्ञानिक, लेखक, और एक्टर थे। उनका जन्म 27 अप्रैल 1933 को गांधनगर, बिहार में हुआ था। अब्दुल कलाम को भारत के लिए कई सम्मानों से सम्मानित किया गया है, जिनमें से कुछ में पादरी, पुस्तकालय, और भारत रत्न, पद्मश्री आदि शामिल हैं।

अब्दुल कलाम की कुछ प्रमुख योगदान हैं"
 मोदी के पहले कार्यकाल के दौरान भारत के वित्त मंत्री कौन थे?,मोदी के पहले कार्यकाल के दौरान भारत के वित्त मंत्री अनुराग ओशियारा थे।
 नरेन्द्र मोदी की शैक्षिक योग्यता क्या है?,"नरेंद्र मोदी की शैक्षिक योग्यता निम्नलिखित है:

* शिक्षा:
 + शिक्षा के बारे में मोदी ने अपने बचपन से ही पढ़ाई की और अपने परिवार के पास रहने वाली एक गाँव, कांचीपुर, मुंबई में रहने के कारण उन्होंने अपनी शिक्षा स्थानीय स्कूल से लेकर उच्च शिक्षा तक पूरी की।

* कॉलेज और विश्वविद्यालय:
 + उन"
अयोध्या में विवादित ढांचा कब गिराया गया? राज्य सरकार को कैसे दंडित किया गया?,"अयोध्या में विवादित ढांचा 2002 में गिराया गया था, जब राष्ट्रपति वल्लभभाई पटेल ने राम मंदिर पर निर्माण के लिए लोकpalा मिल के निरीक्षण अधिकार से विरोध की जाने वाली अयोध्या में कुछ मंदिर के ढांचे को नष्ट करने की घोषणा की।"
 संविधान का कौन सा अनुच्छेद भारत के राष्ट्रपति के चुनाव से संबंधित है?,संविधान का अनुच्छेद 324 से संबंधित है
महाराष्ट्र में लोकसभा सीटों की संख्या कितनी है?,महाराष्ट्र में लोकसभा सीटों की संख्या 48 है।
 संविधान की प्रारूप समिति के समक्ष प्रस्तावना का प्रस्ताव किसने रखा था,संविधान की प्रारूप समिति के समक्ष प्रस्तावना का प्रस्ताव 1947 में किसे रखा था।
