Prompt,Response
 1920 मध्ये असहकार चळवळ सुरू झाली तेव्हा कोणाचा मृत्यू झाला?,"इ.स.पूर्व 1920 मध्ये असहकार चळवळ सुरू झाली तेव्हा महात्मा गांधी मृत्यू झाले.

महात्मा गांधी हे भारतीय स्वत:शासनाचे स्थापत्य होते."
 कोणता भारतीय कार्यकर्ता 'लोकहितवादी' या नावाने प्रसिद्ध होता?,अटल बिर सिंह जे ने 'लोकहितवादी' या नावाने प्रसिद्धी मिळवली
 भारताचे पहिले राष्ट्रपती आणि अमेरिकेचे पहिले राष्ट्रपती कोण होते?,भारताचे पहिले राष्ट्रपती डॉ. विलियम नेशन (डॉ. विलियम नेशन) होते आणि अमेरिकेचे पहिले राष्ट्रपती द्वितीय फ्रांसिस क्लिंटन होते.
अब्दुल कलाम कोण होते? थोडक्यात वर्णन करा.,अब्दुल कलाम (Abdul Kalam) हे एक भारतीय शास्त्रीय खेळाडे आणि वैज्ञानिक होते जे हिंदुस्तान युनिवर्सिटी ऑफ टेक्नोलॉजी (HUST) येथे शिक्षण घेत होते. ते 1965 मध्ये त्यांनी रॉकेट कार्यक्षमीकरण केले आणि 1988 मध्ये भारताचे पहिले वैज्ञानिक प्राध्यापक झाले. ते नॅशनल स्पेस सोसायटी मध्ये
 मोदींच्या पहिल्या कार्यकाळात भारताचे अर्थमंत्री कोण होते?,मोदींच्या पहिल्या कार्यकाळात भारताचे अर्थमंत्री राजीव गांधी होते.
 नरेंद्र मोदींची शैक्षणिक पात्रता काय आहे?,"नरेंद्र मोदींची शैक्षणिक पात्रता निमित्त आहे की या लेखी अधिकारी, प्रख्याशास्त्री आणि राजकीय व्यवस्थापक म्हणून दोनदा काम केले आहे. 

नरेंद्र मोदींची शिक्षण प्रशासनातील व्यावसायिक शिक्षणांचे काही त्याचा एक शिक्षण होता, ज्यामध्ये त्याच्या शाळेला जाऊन सेवांचा शिक्षण घेतला होत"
 अयोध्येतील वादग्रस्त वास्तू कधी पाडण्यात आली? राज्य कसे होते. सरकारने शिक्षा केली?,"अयोध्येतील वादग्रस्त वास्तू कधी पाडण्यात आली.

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त वास्तू

अयोध्येतील वादग्रस्त व"
 राज्यघटनेचे कोणते कलम भारताच्या राष्ट्रपतींच्या निवडीशी संबंधित आहे?,राज्यघटनेचे कलम ३ मध्ये भारताच्या राष्ट्रपतींच्या निवडीशी संबंधित आहे.
 महाराष्ट्रात लोकसभेच्या जागांची संख्या किती आहे?,महाराष्ट्रात लोकसभेच्या 48 जागांची संख्या आहे.
 संविधानाच्या मसुदा समितीसमोर प्रस्तावना कोणी मांडली,"नावाजीर प्रस्तावना: 

आधुनिक भारताच्या भारतीय संविधानाच्या मसुद्याने त्याच्या संविधानाच्या नीती प्रकारे समावेश केले आणि त्यातील सामाजिक, सांस्कृतिक, आर्थिक आणि धार्मिक विविधतेच्या प्रतिबंधे आणि प्रोत्साहने आणि प्रतिबंधे विहीत आहेत.

संविधानाचा त्याचा कार्यकाल  1947 मध्ये संपता"
