Prompt,Response,Answer,Similarity
 1920 में असहयोग आंदोलन की शुरुआत के साथ ही किसकी मृत्यु हो गई?,"1920 में असहयोग आंदोलन की शुरुआत के साथ ही महिला सेवा संघ (एमएसए) की संस्थापक की मृत्यु हुई, जिसका नाम कांताबेन कुमारी मिलकoti"," 1 अगस्त 1920 को असहयोग आंदोलन की घोषणा हुई, उसी दिन सुबह-सुबह बाल गंगाधर तिलक की मृत्यु की खबर आई।",0.7000511
 कौन से भारतीय कार्यकर्ता लोकप्रिय रूप से 'लोकहितवादी' के नाम से जाने जाते थे?,"कुछ प्रमुख भारतीय कार्यकर्ता जिन्हें 'लोकहितवादी' के नाम से जाने जाते थे, उनमें से कुछ इस प्रकार हैं:

1. बाबासाई: 1910 में पंजाब में पैदा हुए, बाबासाई एक प्रतिभाशाली लेखक, कवि और सामाजिक कार्यकर्ता थे। उन्हें भारतीय स्वतंत्रता संग्राम में एक महत्वपूर्ण भूमिका निभाने के लिए जाना जाता था।"," राव बहादुर गोपाल हरि देशमुख () जिन्हें लोकहितवादी के नाम से भी जाना जाता है (18 फ़रवरी 1823 - 9 अक्टूबर 1892) महाराष्ट्र के एक भारतीय कार्यकर्ता, विचारक, समाज सुधारक और लेखक थे।",0.90162134
 भारत के प्रथम राष्ट्रपति और संयुक्त राज्य अमेरिका के प्रथम राष्ट्रपति कौन थे?,भारत के प्रथम राष्ट्रपति जवाहरलाल नेहरू और संयुक्त राज्य अमेरिका के प्रथम राष्ट्रपति रॉबर्ट एट्वार्ट हेन्री," राजेंद्र प्रसाद एक भारतीय राजनीतिज्ञ, वकील, पत्रकार और विद्वान थे, जिन्होंने 1950 से 1962 तक भारत के पहले राष्ट्रपति के रूप में कार्य किया। जॉर्ज वाशिंगटन (22 फरवरी, 1732 - 14 दिसंबर, 1799) एक अमेरिकी संस्थापक पिता, सैन्य अधिकारी और राजनीतिज्ञ थे, जिन्होंने 1789 से 1797 तक संयुक्त राज्य अमेरिका के पहले राष्ट्रपति के रूप में कार्य किया।",0.88483864
 अब्दुल कलाम कौन थे? संक्षेप में वर्णन करें।,"अब्दुल कलाम एक प्रसिद्ध भारतीय गणितज्ञ, वैज्ञानिक, लेखक, और एक्टर थे। उनका जन्म 27 अप्रैल 1933 को गांधनगर, बिहार में हुआ था। अब्दुल कलाम को भारत के लिए कई सम्मानों से सम्मानित किया गया है, जिनमें से कुछ में पादरी, पुस्तकालय, और भारत रत्न, पद्मश्री आदि शामिल हैं।

अब्दुल कलाम की कुछ प्रमुख योगदान हैं"," एपीजे अब्दुल कलाम (जन्म 15 अक्टूबर, 1931, रामेश्वरम, भारत - मृत्यु 27 जुलाई, 2015, शिलांग) एक भारतीय वैज्ञानिक और राजनीतिज्ञ थे, जिन्होंने भारत के मिसाइल और परमाणु हथियार कार्यक्रमों के विकास में अग्रणी भूमिका निभाई थी। वे 1962 से 1970 तक भारत के राष्ट्रपति रहे। 2002 से 2007 तक.",0.91662884
 मोदी के पहले कार्यकाल के दौरान भारत के वित्त मंत्री कौन थे?,मोदी के पहले कार्यकाल के दौरान भारत के वित्त मंत्री अनुराग ओशियारा थे।," अरुण जेटली (28 दिसंबर 1952 - 24 अगस्त 2019) एक भारतीय राजनीतिज्ञ और वकील थे। भारतीय जनता पार्टी के सदस्य, जेटली ने 2014 से 2019 तक भारत सरकार के वित्त और कॉर्पोरेट मामलों के मंत्री के रूप में कार्य किया।",0.8793328
 नरेन्द्र मोदी की शैक्षिक योग्यता क्या है?,"नरेंद्र मोदी की शैक्षिक योग्यता निम्नलिखित है:

* शिक्षा:
 + शिक्षा के बारे में मोदी ने अपने बचपन से ही पढ़ाई की और अपने परिवार के पास रहने वाली एक गाँव, कांचीपुर, मुंबई में रहने के कारण उन्होंने अपनी शिक्षा स्थानीय स्कूल से लेकर उच्च शिक्षा तक पूरी की।

* कॉलेज और विश्वविद्यालय:
 + उन","1978 में, मोदी ने दिल्ली विश्वविद्यालय के स्कूल ऑफ ओपन लर्निंग से राजनीति विज्ञान में बीए की डिग्री प्राप्त की, जिसमें उन्होंने तृतीय श्रेणी में स्नातक किया। पांच साल बाद, 1983 में, उन्होंने बाहरी दूरस्थ शिक्षा छात्र के रूप में गुजरात विश्वविद्यालय से राजनीति विज्ञान में मास्टर ऑफ आर्ट्स की डिग्री प्राप्त की।",0.7607123
अयोध्या में विवादित ढांचा कब गिराया गया? राज्य सरकार को कैसे दंडित किया गया?,"अयोध्या में विवादित ढांचा 2002 में गिराया गया था, जब राष्ट्रपति वल्लभभाई पटेल ने राम मंदिर पर निर्माण के लिए लोकpalा मिल के निरीक्षण अधिकार से विरोध की जाने वाली अयोध्या में कुछ मंदिर के ढांचे को नष्ट करने की घोषणा की।", 6 दिसंबर 1992 को अयोध्या में विवादित ढांचा यानी बाबरी मस्जिद गिरा दी गई। उत्तर प्रदेश की भाजपा सरकार बर्खास्त कर दी गई और उत्तर प्रदेश के मुख्यमंत्री के खिलाफ सुप्रीम कोर्ट में अदालत की अवमानना का मामला दर्ज किया गया।,0.9189663
 संविधान का कौन सा अनुच्छेद भारत के राष्ट्रपति के चुनाव से संबंधित है?,संविधान का अनुच्छेद 324 से संबंधित है," भारतीय संविधान के अनुच्छेद 54 के अनुसार, राष्ट्रपति का चुनाव एक निर्वाचक मंडल द्वारा किया जाता है, जिसमें संसद के दोनों सदनों के निर्वाचित सदस्य और सभी राज्यों की विधानसभाओं के निर्वाचित सदस्य और राष्ट्रीय राजधानी क्षेत्र दिल्ली और हिमाचल प्रदेश के निर्वाचित सदस्य शामिल होते हैं। संघ शासित प्रदेश पुडुचेरी।",0.7608117
महाराष्ट्र में लोकसभा सीटों की संख्या कितनी है?,महाराष्ट्र में लोकसभा सीटों की संख्या 48 है।," 48 लोकसभा सीटों के साथ महाराष्ट्र, उत्तर प्रदेश के बाद दूसरे स्थान पर है, जहां 80 सीटें हैं।",0.9321638
 संविधान की प्रारूप समिति के समक्ष प्रस्तावना का प्रस्ताव किसने रखा था,संविधान की प्रारूप समिति के समक्ष प्रस्तावना का प्रस्ताव 1947 में किसे रखा था।,"प्रस्तावना नेहरू के ""उद्देश्य संकल्प"" पर आधारित है। जवाहरलाल नेहरू ने एक उद्देश्य संकल्प प्रस्तावित किया और तभी डॉ. बीआर अंबेडकर ने संविधान और प्रस्तावना का पाठ तैयार किया।",0.9099955
